user_id,first_name,last_name,age,gender,country,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device
user_00001,Erica,Garza,43,M,USA,Basic,2024-04-08,1,36.06,Laptop
user_00002,Joshua,Bernard,38,M,USA,Premium+,2024-05-24,1,14.59,Desktop
user_00003,Barbara,Williams,32,F,USA,Standard,2023-09-22,0,11.71,Desktop
user_00004,Chelsea,Ferguson,11,M,USA,Standard,2024-08-21,1,28.56,Laptop
user_00005,Jason,Foster,21,F,USA,Standard,2024-10-28,1,9.54,Desktop
user_00006,Katelyn,Hernandez,43,F,Canada,Standard,2024-05-16,1,,Gaming Console
user_00007,Daniel,Moore,63,,USA,Premium,2025-03-13,1,27.74,Desktop
user_00008,Carol,Smith,,M,Canada,Basic,2022-11-03,1,6.69,Tablet
user_00009,Allison,Brandt,24,M,USA,Premium,2025-04-13,1,12.21,Gaming Console
user_00010,Adrian,Perez,24,M,USA,Basic,2024-08-04,1,23.18,Laptop
user_00011,Collin,Gomez,67,F,USA,Basic,2022-10-07,1,556.13,Desktop
user_00012,Isaiah,Wright,41,F,USA,Premium,2022-09-26,1,29.23,Tablet
user_00013,Franklin,Galloway,32,F,USA,Basic,2023-01-18,1,18.68,Gaming Console
user_00014,Wesley,Brown,22,M,USA,Basic,2023-10-18,1,25.19,Laptop
user_00015,Sarah,Santiago,45,F,Canada,Basic,2023-12-16,0,5.14,Mobile
user_00016,Nicole,Wood,50,F,USA,Standard,2024-08-02,1,3.36,Laptop
user_00017,Joseph,Robbins,25,F,USA,Premium,2022-11-11,1,,Smart TV
user_00018,Joyce,Hoffman,36,F,USA,Basic,2025-02-01,1,8.78,Laptop
user_00019,Elizabeth,Deleon,26,Other,USA,Premium,2025-03-25,1,10.28,Mobile
user_00020,Erik,Reyes,31,F,USA,Premium+,2023-07-02,1,11.32,Tablet
user_00021,Darlene,Frazier,38,F,Canada,Basic,2024-04-29,1,17.24,Laptop
user_00022,Paul,Scott,33,M,USA,Premium+,2023-09-05,1,,Gaming Console
user_00023,Elizabeth,Powell,40,F,Canada,Basic,2024-08-13,1,,Gaming Console
user_00024,Jason,Marshall,,F,Canada,Standard,2024-07-24,1,23.83,Desktop
user_00025,Jeffrey,Hernandez,36,M,USA,Premium+,2023-12-14,0,11.97,Tablet
user_00026,Patricia,Osborne,60,Prefer not to say,Canada,Basic,2022-09-26,1,36.53,Smart TV
user_00027,Stephanie,Salazar,37,F,USA,Basic,2023-05-13,1,17.72,Mobile
user_00028,Jennifer,Nelson,,M,USA,Standard,2024-09-14,1,41.44,Laptop
user_00029,Rebecca,Gates,28,F,USA,Basic,2024-11-04,1,12.06,Gaming Console
user_00030,Paul,Ramsey,24,,USA,Premium,2024-05-11,1,10.17,Laptop
user_00031,Mark,Murphy,26,M,USA,Premium+,2025-02-02,1,18.19,Tablet
user_00032,James,Howell,56,M,USA,Premium+,2023-12-24,1,7.49,Gaming Console
user_00033,Beth,Johnston,60,M,USA,Standard,2024-05-11,1,27.09,Smart TV
user_00034,Amanda,Jones,32,,USA,Standard,2023-11-20,1,,Gaming Console
user_00035,Christina,Marshall,31,M,USA,Premium+,2025-03-25,1,19.52,Desktop
user_00036,Michael,Peterson,36,Other,USA,Premium,2024-09-29,1,9.74,Smart TV
user_00037,Christopher,Sullivan,41,M,Canada,Standard,2024-03-30,1,27.56,Desktop
user_00038,David,Stewart,21,F,USA,Standard,2024-10-04,1,37.01,Mobile
user_00039,Joshua,Tran,40,F,USA,Standard,2023-12-29,1,,Tablet
user_00040,Travis,Hernandez,48,F,USA,Standard,2024-11-29,1,15.84,Tablet
user_00041,Chelsea,Meza,29,F,Canada,Standard,2023-04-21,1,25.73,Laptop
user_00042,Jesse,Warner,58,M,Canada,Standard,2023-11-10,1,27.64,Laptop
user_00043,Scott,Barker,35,M,Canada,Standard,2022-10-29,1,6.05,Tablet
user_00044,Yvonne,Johnston,42,M,Canada,Basic,2023-02-16,1,32.85,Mobile
user_00045,Mia,Jenkins,40,F,USA,Premium,2023-12-13,1,3.22,Desktop
user_00046,Robert,Stone,,M,USA,Premium+,2024-03-25,1,35.11,Desktop
user_00047,Lance,Tran,50,F,USA,Premium+,2025-06-04,1,22.98,Smart TV
user_00048,Andrea,Lee,33,F,Canada,Basic,2025-05-21,1,16.5,Smart TV
user_00049,Amanda,Cook,39,Prefer not to say,USA,Basic,2024-04-19,1,,Desktop
user_00050,Vanessa,Simpson,47,M,USA,Premium+,2025-03-12,0,2.01,Smart TV
user_00051,Charles,Morgan,24,Other,USA,Premium,2025-06-12,0,19.09,Smart TV
user_00052,Julie,Good,20,M,Canada,Premium,2022-09-21,1,15.39,Tablet
user_00053,George,Lynch,34,M,USA,Standard,2023-04-13,1,30.64,Smart TV
user_00054,Charles,Huerta,53,,Canada,Premium,2023-03-08,1,16.83,Gaming Console
user_00055,Andrew,Hill,44,F,USA,Standard,2024-05-28,1,,Mobile
user_00056,Kyle,Johnson,37,F,Canada,Premium,2024-10-29,1,29.14,Desktop
user_00057,Linda,Mccarty,,Prefer not to say,Canada,Premium,2025-06-27,1,23.46,Tablet
user_00058,Brenda,Rodriguez,,M,USA,Standard,2025-05-01,1,12.29,Mobile
user_00059,Kevin,Wilson,40,,USA,Standard,2024-05-06,1,13,Tablet
user_00060,Jeff,Sampson,22,M,USA,Premium,2023-10-12,1,19.03,Mobile
user_00061,Brent,Sanchez,20,M,USA,Standard,2024-05-05,1,3.9,Gaming Console
user_00062,Lauren,Guerrero,27,F,USA,Premium,2024-05-08,1,10.7,Desktop
user_00063,Thomas,Palmer,26,,Canada,Standard,2023-12-17,1,20.26,Gaming Console
user_00064,Charles,Morris,40,F,Canada,Premium,2023-09-23,1,6.76,Gaming Console
user_00065,Russell,Gutierrez,38,F,USA,Basic,2023-11-12,1,3.95,Desktop
user_00066,Colin,Cain,,F,USA,Premium,2025-03-16,1,50.72,Laptop
user_00067,Eric,Walker,38,M,USA,Standard,2024-11-14,1,24.02,Desktop
user_00068,Adam,Knight,30,M,USA,Basic,2024-10-27,0,,Tablet
user_00069,Nicole,Moore,40,F,USA,Premium,2024-05-28,1,12.48,Tablet
user_00070,Brandon,Joyce,50,M,Canada,Premium+,2024-11-16,1,12.47,Laptop
user_00071,Amanda,Mason,43,M,USA,Standard,2022-08-22,1,2.48,Mobile
user_00072,Richard,Jackson,28,F,USA,Premium,2023-11-22,1,22.83,Tablet
user_00073,William,Schmidt,39,Other,Canada,Basic,2022-11-22,1,8.02,Gaming Console
user_00074,Karen,Maldonado,44,F,Canada,Basic,2023-11-29,1,21.07,Gaming Console
user_00075,Brian,Jones,29,F,Canada,Premium,2023-12-07,1,44.32,Smart TV
user_00076,William,Williams,26,M,Canada,Standard,2023-09-14,1,13.91,Tablet
user_00077,Cody,Mitchell,35,F,USA,Premium,2023-07-08,0,27.46,Desktop
user_00078,Debbie,Romero,53,F,Canada,Standard,2025-06-05,1,17.93,Laptop
user_00079,Ebony,Harper,30,M,USA,Premium,2024-09-30,1,17.62,Tablet
user_00080,Jesus,Collins,21,M,Canada,Standard,2023-12-21,1,7.47,Gaming Console
user_00081,Brett,Sawyer,56,Other,USA,Premium,2023-12-07,1,20.41,Mobile
user_00082,Brian,Young,,Prefer not to say,USA,Premium,2025-02-06,1,12.08,Gaming Console
user_00083,Katherine,West,33,F,USA,Basic,2022-12-01,1,9.39,Smart TV
user_00084,Bryan,Carlson,50,,Canada,Standard,2022-08-03,1,6.54,Smart TV
user_00085,Stephanie,Myers,48,F,USA,Basic,2024-10-29,1,1.91,Laptop
user_00086,Dennis,Payne,66,M,USA,Premium,2025-01-07,1,13.95,Gaming Console
user_00087,Leslie,Robertson,26,F,USA,Standard,2023-08-28,1,14.46,Mobile
user_00088,Patricia,Morgan,38,Other,Canada,Standard,2024-12-27,1,10.87,Laptop
user_00089,Kirk,Jackson,32,,Canada,Standard,2023-05-29,1,,Gaming Console
user_00090,Austin,Young,20,M,USA,Standard,2024-05-26,1,22.14,Tablet
user_00091,Raymond,Wright,27,F,Canada,Basic,2025-04-29,1,5.81,Tablet
user_00092,James,Farrell,20,M,Canada,Premium,2025-01-06,1,6.55,Gaming Console
user_00093,David,Conner,31,F,USA,Premium+,2023-12-27,1,16.17,Mobile
user_00094,Alicia,Morrow,,M,USA,Premium,2023-12-25,1,38.05,Desktop
user_00095,April,Martin,36,F,USA,Standard,2025-02-14,1,31.99,Gaming Console
user_00096,Brittany,Jackson,30,M,USA,Premium,2025-06-06,1,7.71,Desktop
user_00097,Timothy,Evans,52,M,Canada,Standard,2023-03-13,0,8.84,Desktop
user_00098,Luis,Martinez,24,F,USA,Standard,2025-06-03,1,3.68,Gaming Console
user_00099,Wendy,Jimenez,20,F,USA,Premium,2025-06-26,0,14.89,Smart TV
user_00100,Justin,Boone,22,F,USA,Premium,2023-09-07,1,,Mobile
user_00101,Kathy,Bryan,14,M,USA,Premium+,2024-04-04,1,28.98,Smart TV
user_00102,Jennifer,Stone,45,F,USA,Premium,2023-01-27,1,,Smart TV
user_00103,Tina,Robles,40,M,USA,Premium,2024-09-30,0,15.6,Desktop
user_00104,James,Edwards,49,,USA,Standard,2025-03-15,1,12.52,Tablet
user_00105,Sue,Barr,22,,USA,Basic,2023-02-28,1,31.37,Desktop
user_00106,Hannah,Stewart,38,M,Canada,Basic,2025-04-09,0,24.79,Desktop
user_00107,Julie,Harris,35,F,Canada,Standard,2023-04-24,1,8.38,Laptop
user_00108,Adam,Russell,13,F,USA,Premium,2023-06-10,1,10.47,Desktop
user_00109,Robert,Peck,24,Prefer not to say,USA,Premium,2025-03-19,1,,Gaming Console
user_00110,Melissa,Nelson,49,F,Canada,Standard,2024-09-27,1,38.06,Smart TV
user_00111,Zachary,Morales,101,F,Canada,Basic,2022-08-09,1,8.26,Desktop
user_00112,Heather,Contreras,33,M,USA,Standard,2024-08-27,1,28.67,Mobile
user_00113,Robert,Todd,37,M,Canada,Standard,2024-02-28,1,15.85,Mobile
user_00114,Franklin,Wilson,36,Other,Canada,Premium,2025-01-04,1,27.06,Desktop
user_00115,Jennifer,Scott,30,M,Canada,Basic,2023-08-14,1,19.82,Desktop
user_00116,Hector,Cannon,37,Prefer not to say,USA,Standard,2025-03-12,0,11.76,Tablet
user_00117,Jessica,Davenport,40,F,Canada,Basic,2024-03-06,1,17.91,Smart TV
user_00118,Antonio,Mendez,43,F,USA,Basic,2023-12-04,1,50.48,Mobile
user_00119,Donald,Young,,M,USA,Premium,2023-10-29,1,,Smart TV
user_00120,Kristi,Horton,39,M,USA,Basic,2023-04-23,1,8.61,Tablet
user_00121,Angela,Price,18,M,USA,Premium,2025-02-15,1,1.08,Mobile
user_00122,Morgan,Ballard,32,Other,USA,Standard,2025-06-15,1,4.65,Smart TV
user_00123,Randy,Arnold,,M,USA,Premium,2023-05-15,1,7.55,Tablet
user_00124,Anna,Figueroa,55,,USA,Premium,2023-06-21,1,38.42,Smart TV
user_00125,Jonathan,Levy,53,F,USA,Standard,2023-01-02,1,9.19,Tablet
user_00126,Kathy,Taylor,6,Other,Canada,Premium,2023-09-15,1,10.26,Laptop
user_00127,Amanda,Smith,36,M,USA,Standard,2023-04-23,1,10.74,Gaming Console
